id,created_date,modified_date,is_active,refitems_name,refitems_code,is_systemdata,refitems_desc,created_by_id,modified_by_id,refitems_category_id
92,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Master of Engineering,MENGG,f,Master of Engineering,1,1,17
93,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Master of Arts in Liberal Studies,MALIS,f,Master of Arts in Liberal Studies,1,1,17
94,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Master of Library Science,MLSSS,f,Master of Library Science,1,1,17
95,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Master of Science in Library Science,MSLSS,f,Master of Science in Library Science,1,1,17
96,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Email,EMAIL,f,Email,1,1,18
97,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Telephone,TPHON,f,Telephone,1,1,18
98,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Mobile,MOBIL,f,Mobile,1,1,18
99,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Job Portal,JOBPR,f,Job Portal,1,1,19
100,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Resume Database,RSMDB,f,Resume Database,1,1,19
101,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Referral,REFRL,f,Referral,1,1,19
102,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Male,MALEE,f,Male,1,1,20
103,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Female,FMALE,f,Female,1,1,20
104,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,f,Others,OTHER,f,Others,1,1,20
105,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,On Hold,ONHLD,f,On Hold,1,1,21
106,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Open,OPENN,f,Open,1,1,21
107,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Closed,CLOSD,f,Closed,1,1,21
108,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Cancelled,CNCLD,f,Cancelled,1,1,21
109,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Meals,MEALS,f,Meals,1,1,22
110,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Travel,TRAVL,f,Travel,1,1,22
111,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Client Visit,CLVST,f,Client Visit,1,1,22
112,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Indian Rupees,INDNR,f,Indian Rupees,1,1,23
113,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,US Dollars,USDOL,f,US Dollars,1,1,23
114,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Approved,APPRV,f,Approved,1,1,24
115,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Rejected,REJCT,f,Rejected,1,1,24
116,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Open,OPENN,f,Open,1,1,24
117,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Insufficient Docs,NODOC,f,Insufficient Docs,1,1,25
118,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Need More Info,NMINF,f,Need More Info,1,1,25
119,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Approved,APPRV,f,Approved,1,1,26
120,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Rejected,REJCT,f,Rejected,1,1,26
121,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Open,OPENN,f,Open,1,1,26
122,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Cancelled,CANCL,f,Cancelled,1,1,26
123,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Sick Leave,SICKL,f,Sick Leave,1,1,27
124,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Casual Leave,CASHL,f,Casual Leave,1,1,27
125,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Maternity Leave,MTNTL,f,Maternity Leave,1,1,27
126,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Paternity Leave,PTNTL,f,Paternity Leave,1,1,27
127,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Compensatory Off,CMPOF,f,Compensatory Off,1,1,27
128,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Permission,PEMSN,f,Permission,1,1,27
129,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Leave of Absence,LEABS,f,Leave of Absence,1,1,27
130,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Frequent Leave,FRQLV,f,Frequent Leave,1,1,28
131,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Impacts Work Deliverables,IMPCT,f,Impacts Work Deliverables,1,1,28
132,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Mr.,MISTR,f,Mr.,1,1,29
133,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,f,Master,MASTR,f,Master,1,1,29
134,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Ms.,MISRS,f,Mrs.,1,1,29
135,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,f,Miss,MISSS,f,Miss,1,1,29
136,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,f,Father,FATHR,f,Father,1,1,29
137,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,f,Rev.,REVRD,f,Rev.,1,1,29
138,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,f,Sr.,SISTR,f,Sr.,1,1,29
139,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,15 Days,15DYS,f,15 Days,1,1,30
140,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1 Month,1MNTH,f,1 Month,1,1,30
141,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,3 Months,3MNTH,f,3 Months,1,1,30
142,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Immediate,IMEDT,f,Immediate,1,1,30
143,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,1 Week,1WEEK,f,1 Week,1,1,30
144,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Shortlisted,STLST,f,Shortlisted,1,1,31
145,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Selected,SLCTD,f,Selected,1,1,31
146,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Offered,OFERD,f,Offered,1,1,31
147,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Rejected,RJCTD,f,Rejected,1,1,31
148,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Review in progress,REVIW,f,Review in progress,1,1,31
149,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Open,OPENN,f,Open,1,1,31
150,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Indian Overseas Bank,IOBBN,f,Indian Overseas Bank,1,1,32
151,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,State Bank Of India,SBIBN,f,State Bank Of India,1,1,32
152,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,AXIS,AXISB,f,AXIS,1,1,32
153,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,OneTime,ONETI,f,OneTime,1,1,33
154,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Quarterly,QRTLY,f,Quarterly,1,1,33
155,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Monthly,MTHLY,f,Monthly,1,1,33
156,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Strategy,STRAT,f,Strategy,1,1,34
157,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Managerial,MNGRL,f,Managerial,1,1,34
158,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Execution,EXECN,f,Execution,1,1,34
159,2014-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Teamwork,TCP01,f,Teamwork,1,1,35
160,2015-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Responsibility,TCP02,f,Responsibility,1,1,35
161,2016-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Commitment to career,TCP03,f,Commitment to career,1,1,35
162,2017-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Commercial awareness,TCP04,f,Commercial awareness,1,1,35
163,2015-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Career motivation,TCP05,f,Career motivation,1,1,35
164,2016-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Decision making,TCP06,f,Decision making,1,1,35
165,2017-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Communication,TCP07,f,Communication,1,1,35
166,2018-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Leadership,TCP08,f,Leadership,1,1,35
167,2014-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Adaptability/Decisiveness,BCP01,f,Adaptability/Decisiveness,1,1,36
168,2015-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Initiative/Perseverance,BCP02,f,Initiative/Perseverance,1,1,36
169,2016-02-13 21:57:00+05:30,2018-02-13 21:57:00+05:30,t,Interpersonal Skills,BCP03,f,Interpersonal Skills,1,1,36
