id,created_date,modified_date,is_active,kpo_statement,kpo_outcome,kpo_target_date,kpo_performance_std,kpo_plan,created_by_id,kpo_role_id,modified_by_id
67,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Team Handling,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,10,1
68,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Create high fidelity mockups of elegant, usable and consistent user interfaces based on business requirements",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,11,1
69,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Build functional/interactive prototypes ,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,11,1
70,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Provide usability recommendations based on user testing, analytics, and user behavior",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,11,1
71,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Contribute to the broader team defining core usability and visual design concepts ,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,11,1
72,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Translate user behavior and research into actionable data.,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,12,1
73,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Conceive, develop, test and present ideas that deliver the highest quality user experience in terms of innovation,simplicity and consistency",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,12,1
74,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Drives design process in a collaborative manner with cross-functional teams,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,12,1
75,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Establish and maintain reusable design standards and guideline,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,12,1
76,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Design, build, and implement front-end solutions.",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,12,1
77,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Create high fidelity mockups of elegant, usable and consistent user interfaces based on business requirements",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,13,1
78,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Build functional/interactive prototypes ,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,13,1
79,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Provide usability recommendations based on user testing, analytics, and user behavior",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,13,1
80,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Contribute to the broader team defining core usability and visual design concepts ,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,13,1
81,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Escalation Handling and Mentoring,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,13,1
82,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Translate user behavior and research into actionable data.,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,14,1
83,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Conceive, develop, test and present ideas that deliver the highest quality user experience in terms of innovation,simplicity and consistency",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,14,1
84,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Drives design process in a collaborative manner with cross-functional teams,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,14,1
85,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Establish and maintain reusable design standards and guideline,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,14,1
86,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Design, build, and implement front-end solutions.",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,14,1
87,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Escalation Handling and Mentoring,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,14,1
88,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Translate user behavior and research into actionable data.,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,15,1
89,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Conceive, develop, test and present ideas that deliver the highest quality user experience in terms of innovation,simplicity and consistency",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,15,1
90,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Drives design process in a collaborative manner with cross-functional teams,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,15,1
91,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Establish and maintain reusable design standards and guideline,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,15,1
92,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Design, build, and implement front-end solutions.",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,15,1
93,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Escalation Handling and Mentoring,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,15,1
94,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Team Handling,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,15,1
95,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Test Planning and Execution,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,16,1
96,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Test Plan Coverage,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,16,1
97,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Requirements Understanding ,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,16,1
98,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Effective Defect Detection,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,16,1
99,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Timely Delivery,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,16,1
100,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Escalation Handling and Mentoring,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,16,1
101,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Design, build, and maintain high performance, reusable, and reliable code",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,17,1
102,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Ensure the best possible performance, quality, and responsiveness of the application",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,17,1
103,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Identify and correct bottlenecks and fix bugs,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,17,1
104,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Help maintain code quality, organization standards and automization",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,17,1
105,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Collaborate with a team to define, design, and ship new features",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,17,1
106,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Learn and use new technologies and stay up to date on the latest technology updates.,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,17,1
107,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Escalation Handling and Mentoring,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,17,1
108,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Design, build, and maintain high performance, reusable, and reliable code",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,18,1
109,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Ensure the best possible performance, quality, and responsiveness of the application",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,18,1
110,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,Identify and correct bottlenecks and fix bugs,Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,18,1
111,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Help maintain code quality, organization standards and automization",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,18,1
112,2018-10-25 11:54:40.61741+05:30,2018-10-25 11:54:40.617456+05:30,t,"Collaborate with a team to define, design, and ship new features",Increase productivity,6 months from date of joining,20% improvement,To increase efficiency,1,18,1
